Reporting Month,Timestamp,What is the name of your school?,What is your school's synthetic school code?,What is the name of your district?,Block Details,Was the PBL project conducted in your school this month?,Was evidence submitted for the completed PBL project?,In which class/classes did you conduct the PBL project?,Which subject do you teach?,"Total number of students enrolled in Class 6, including all sections","Average student attendance during the Class 6 PBL Science session. If you did not teach Science in Class 6, enter 0.","Average student attendance during the Class 6 PBL Math session. If you did not teach Math in Class 6, enter 0.","Total number of students enrolled in Class 7, including all sections","Average student attendance during the Class 7 PBL Science session. If you did not teach Science in Class 7, enter 0.","Average student attendance during the Class 7 PBL Math session. If you did not teach Math in Class 7, enter 0.","Total number of students enrolled in Class 8, including all sections","Average student attendance during the Class 8 PBL Science session. If you did not teach Science in Class 8, enter 0.","Average student attendance during the Class 8 PBL Math session. If you did not teach Math in Class 8, enter 0.",Derived: Total enrollment across Classes 6-8,Derived: Total attendance across PBL Science and Math sessions,Derived: Overall PBL attendance rate,Derived: Risk status
2025-08,2025-08-08 09:17:00,School AAKD,SYN-264-AAKD,District A,District A - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,27,18,18,35,28,28,32,24,25,94,141,0.75,On Track
2025-08,2025-08-08 09:34:00,School AAKE,SYN-265-AAKE,District A,District A - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,63,49,44,81,62,57,44,22,24,188,258,0.6862,Behind
2025-08,2025-08-08 09:51:00,School AAKF,SYN-266-AAKF,District A,District A - Block 001,Yes,No,"Classes 6, 7 and 8",Math and Science,75,51,44,58,42,39,60,45,41,193,262,0.6788,Behind
2025-08,2025-08-08 10:08:00,School AAKO,SYN-275-AAKO,District A,District A - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,83,46,42,70,42,41,54,27,26,207,224,0.5411,At Risk
2025-08,2025-08-08 10:25:00,School AAKM,SYN-273-AAKM,District A,District A - Block 003,No,No,Not conducted,Not applicable,121,0,0,141,0,0,87,0,0,349,0,0.0,Critical
2025-08,2025-08-08 10:42:00,School AAKI,SYN-269-AAKI,District A,District A - Block 004,Yes,No,Classes 6 and 7,Math and Science,71,60,51,63,51,51,46,41,41,180,295,0.8194,On Track
2025-08,2025-08-08 10:59:00,School AAKN,SYN-274-AAKN,District A,District A - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,115,95,104,230,198,178,133,108,130,478,813,0.8504,On Track
2025-08,2025-08-08 11:16:00,School AAKL,SYN-272-AAKL,District A,District A - Block 006,No,No,Not conducted,Not applicable,57,0,0,57,0,0,50,0,0,164,0,0.0,Critical
2025-08,2025-08-08 11:33:00,School AAKG,SYN-267-AAKG,District A,District A - Block 007,No,No,Not conducted,Not applicable,135,0,0,105,0,0,149,0,0,389,0,0.0,Critical
2025-08,2025-08-08 11:50:00,School AAKH,SYN-268-AAKH,District A,District A - Block 007,Yes,Yes,Class 6,Math and Science,120,94,92,132,96,88,124,93,82,376,545,0.7247,Behind
2025-08,2025-08-08 12:07:00,School AAKJ,SYN-270-AAKJ,District A,District A - Block 008,Yes,No,"Classes 6, 7 and 8",Science,12,11,9,24,17,14,23,18,16,59,85,0.7203,Behind
2025-08,2025-08-08 12:24:00,School AAKK,SYN-271-AAKK,District A,District A - Block 008,Yes,No,"Classes 6, 7 and 8",Math and Science,44,32,25,45,27,31,35,24,24,124,163,0.6573,Behind
