Reporting Month,Timestamp,What is the name of your school?,What is your school's synthetic school code?,What is the name of your district?,Block Details,Was the PBL project conducted in your school this month?,Was evidence submitted for the completed PBL project?,In which class/classes did you conduct the PBL project?,Which subject do you teach?,"Total number of students enrolled in Class 6, including all sections","Average student attendance during the Class 6 PBL Science session. If you did not teach Science in Class 6, enter 0.","Average student attendance during the Class 6 PBL Math session. If you did not teach Math in Class 6, enter 0.","Total number of students enrolled in Class 7, including all sections","Average student attendance during the Class 7 PBL Science session. If you did not teach Science in Class 7, enter 0.","Average student attendance during the Class 7 PBL Math session. If you did not teach Math in Class 7, enter 0.","Total number of students enrolled in Class 8, including all sections","Average student attendance during the Class 8 PBL Science session. If you did not teach Science in Class 8, enter 0.","Average student attendance during the Class 8 PBL Math session. If you did not teach Math in Class 8, enter 0.",Derived: Total enrollment across Classes 6-8,Derived: Total attendance across PBL Science and Math sessions,Derived: Overall PBL attendance rate,Derived: Risk status
2025-07,2025-07-08 09:17:00,School AAKD,SYN-264-AAKD,District A,District A - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,27,17,18,35,24,22,32,26,26,94,133,0.7074,Behind
2025-07,2025-07-08 09:34:00,School AAKE,SYN-265-AAKE,District A,District A - Block 001,Yes,No,"Classes 6, 7 and 8",Math and Science,63,46,41,81,51,59,44,18,20,188,235,0.625,Behind
2025-07,2025-07-08 09:51:00,School AAKF,SYN-266-AAKF,District A,District A - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,75,45,40,58,38,45,60,44,42,193,254,0.658,Behind
2025-07,2025-07-08 10:08:00,School AAKO,SYN-275-AAKO,District A,District A - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,83,36,40,70,34,40,54,29,26,207,205,0.4952,At Risk
2025-07,2025-07-08 10:25:00,School AAKM,SYN-273-AAKM,District A,District A - Block 003,Yes,Yes,Class 6,Math and Science,121,67,70,141,52,56,87,37,41,349,323,0.4628,At Risk
2025-07,2025-07-08 10:42:00,School AAKI,SYN-269-AAKI,District A,District A - Block 004,Yes,Yes,Classes 6 and 7,Math and Science,71,54,51,63,47,48,46,39,35,180,274,0.7611,On Track
2025-07,2025-07-08 10:59:00,School AAKN,SYN-274-AAKN,District A,District A - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,115,88,95,230,185,160,133,112,114,478,754,0.7887,On Track
2025-07,2025-07-08 11:16:00,School AAKL,SYN-272-AAKL,District A,District A - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,57,36,36,57,33,32,50,43,41,164,221,0.6738,Behind
2025-07,2025-07-08 11:33:00,School AAKG,SYN-267-AAKG,District A,District A - Block 007,Yes,No,Classes 7 and 8,Science,135,83,57,105,87,59,149,65,70,389,421,0.5411,At Risk
2025-07,2025-07-08 11:50:00,School AAKH,SYN-268-AAKH,District A,District A - Block 007,Yes,Yes,Class 6,Math and Science,120,91,91,132,85,86,124,82,72,376,507,0.6742,Behind
2025-07,2025-07-08 12:07:00,School AAKJ,SYN-270-AAKJ,District A,District A - Block 008,No,No,Not conducted,Not applicable,12,0,0,24,0,0,23,0,0,59,0,0.0,Critical
2025-07,2025-07-08 12:24:00,School AAKK,SYN-271-AAKK,District A,District A - Block 008,No,No,Not conducted,Not applicable,44,0,0,45,0,0,35,0,0,124,0,0.0,Critical
2025-07,2025-07-08 12:41:00,School ADJQ,SYN-2279-ADJQ,District B,District B - Block 001,Yes,No,"Classes 6, 7 and 8",Math and Science,31,22,28,25,13,14,21,13,13,77,103,0.6688,Behind
2025-07,2025-07-08 12:58:00,School ADJS,SYN-2281-ADJS,District B,District B - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,64,28,29,99,56,63,111,62,72,274,310,0.5657,At Risk
2025-07,2025-07-08 13:15:00,School ADJR,SYN-2280-ADJR,District B,District B - Block 002,No,No,Not conducted,Not applicable,66,0,0,67,0,0,68,0,0,201,0,0.0,Critical
2025-07,2025-07-08 13:32:00,School ADJT,SYN-2282-ADJT,District B,District B - Block 003,No,No,Not conducted,Not applicable,25,0,0,13,0,0,5,0,0,43,0,0.0,Critical
2025-07,2025-07-08 13:49:00,School ADJU,SYN-2283-ADJU,District B,District B - Block 003,No,No,Not conducted,Not applicable,120,0,0,96,0,0,92,0,0,308,0,0.0,Critical
2025-07,2025-07-08 14:06:00,School ADJV,SYN-2284-ADJV,District B,District B - Block 003,No,No,Not conducted,Not applicable,29,0,0,21,0,0,24,0,0,74,0,0.0,Critical
2025-07,2025-07-08 14:23:00,School ADJW,SYN-2285-ADJW,District B,District B - Block 003,Yes,No,"Classes 6, 7 and 8",Math and Science,73,54,57,95,66,62,62,43,42,230,324,0.7043,Behind
2025-07,2025-07-08 14:40:00,School ADJX,SYN-2286-ADJX,District B,District B - Block 003,Yes,No,"Classes 6, 7 and 8",Science,113,80,68,107,61,64,98,56,40,318,369,0.5802,At Risk
2025-07,2025-07-08 14:57:00,School ADJY,SYN-2287-ADJY,District B,District B - Block 004,Yes,Yes,Class 6,Math,25,17,13,19,13,9,12,8,5,56,65,0.5804,At Risk
2025-07,2025-07-08 15:14:00,School ADJZ,SYN-2288-ADJZ,District B,District B - Block 004,Yes,No,"Classes 6, 7 and 8",Math and Science,81,43,44,73,46,41,72,41,43,226,258,0.5708,At Risk
2025-07,2025-07-08 15:31:00,School ADKA,SYN-2289-ADKA,District B,District B - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math,107,47,85,84,56,33,93,55,52,284,328,0.5775,At Risk
2025-07,2025-07-08 15:48:00,School ADKB,SYN-2290-ADKB,District B,District B - Block 004,No,No,Not conducted,Not applicable,33,0,0,33,0,0,25,0,0,91,0,0.0,Critical
