grant_id,donor,grant_name,period_start,period_end,covered_districts,reporting_month,budget_line,approved_budget_units,monthly_utilized_units,cumulative_utilized_units,cumulative_utilization_rate,finance_note
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-07,Facilitator orientation,136,42,42,0.3085,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-07,Learning material kits,102,31,31,0.3074,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-07,Field mentoring visits,76,23,23,0.3029,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-07,Monitoring and reporting,60,19,19,0.3253,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-07,Program coordination,51,15,15,0.3027,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-08,Facilitator orientation,136,37,79,0.5837,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-08,Learning material kits,102,28,59,0.5800,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-08,Field mentoring visits,76,20,43,0.5660,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-08,Monitoring and reporting,60,15,35,0.5813,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-08,Program coordination,51,14,29,0.5690,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-09,Facilitator orientation,136,31,110,0.8125,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-09,Learning material kits,102,23,82,0.8037,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-09,Field mentoring visits,76,17,60,0.7887,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-09,Monitoring and reporting,60,14,48,0.8096,Within plan
GRANT_AA_2025,Donor AA,Learning Support Grant AA,2025-07-01,2025-09-30,District T; District G; District AK; District S,2025-09,Program coordination,51,11,41,0.7944,Within plan
GRANT_BB_2025,Donor BB,Learning Support Grant BB,2025-07-01,2025-09-30,District K; District AB; District O; District L,2025-07,Facilitator orientation,115,38,38,0.3273,Within plan
GRANT_BB_2025,Donor BB,Learning Support Grant BB,2025-07-01,2025-09-30,District K; District AB; District O; District L,2025-07,Learning material kits,86,26,26,0.2988,Within plan
GRANT_BB_2025,Donor BB,Learning Support Grant BB,2025-07-01,2025-09-30,District K; District AB; District O; District L,2025-07,Field mentoring visits,65,21,21,0.3212,Within plan
