Reporting Month,Timestamp,What is the name of your school?,What is your school's synthetic school code?,What is the name of your district?,Block Details,Was the PBL project conducted in your school this month?,Was evidence submitted for the completed PBL project?,In which class/classes did you conduct the PBL project?,Which subject do you teach?,"Total number of students enrolled in Class 6, including all sections","Average student attendance during the Class 6 PBL Science session. If you did not teach Science in Class 6, enter 0.","Average student attendance during the Class 6 PBL Math session. If you did not teach Math in Class 6, enter 0.","Total number of students enrolled in Class 7, including all sections","Average student attendance during the Class 7 PBL Science session. If you did not teach Science in Class 7, enter 0.","Average student attendance during the Class 7 PBL Math session. If you did not teach Math in Class 7, enter 0.","Total number of students enrolled in Class 8, including all sections","Average student attendance during the Class 8 PBL Science session. If you did not teach Science in Class 8, enter 0.","Average student attendance during the Class 8 PBL Math session. If you did not teach Math in Class 8, enter 0.",Derived: Total enrollment across Classes 6-8,Derived: Total attendance across PBL Science and Math sessions,Derived: Overall PBL attendance rate,Derived: Risk status
2025-09,2025-09-08 09:17:00,School AAKD,SYN-264-AAKD,District A,District A - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,27,20,21,35,26,26,32,24,30,94,147,0.7819,On Track
2025-09,2025-09-08 09:34:00,School AAKE,SYN-265-AAKE,District A,District A - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,63,46,49,81,57,59,44,23,27,188,261,0.6941,Behind
2025-09,2025-09-08 09:51:00,School AAKF,SYN-266-AAKF,District A,District A - Block 001,No,No,Not conducted,Not applicable,75,0,0,58,0,0,60,0,0,193,0,0.0,Critical
2025-09,2025-09-08 10:08:00,School AAKO,SYN-275-AAKO,District A,District A - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,83,44,43,70,39,39,54,31,29,207,225,0.5435,At Risk
2025-09,2025-09-08 10:25:00,School AAKM,SYN-273-AAKM,District A,District A - Block 003,Yes,Yes,Class 6,Math and Science,121,68,72,141,65,62,87,40,48,349,355,0.5086,At Risk
2025-09,2025-09-08 10:42:00,School AAKI,SYN-269-AAKI,District A,District A - Block 004,Yes,No,Classes 6 and 7,Math and Science,71,60,57,63,46,55,46,38,43,180,299,0.8306,On Track
2025-09,2025-09-08 10:59:00,School AAKN,SYN-274-AAKN,District A,District A - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,115,98,100,230,177,200,133,107,130,478,812,0.8494,On Track
2025-09,2025-09-08 11:16:00,School AAKL,SYN-272-AAKL,District A,District A - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,57,36,37,57,38,36,50,49,41,164,237,0.7226,Behind
2025-09,2025-09-08 11:33:00,School AAKG,SYN-267-AAKG,District A,District A - Block 007,Yes,No,Classes 7 and 8,Science,135,71,63,105,95,52,149,74,103,389,458,0.5887,At Risk
2025-09,2025-09-08 11:50:00,School AAKH,SYN-268-AAKH,District A,District A - Block 007,Yes,Yes,Class 6,Math and Science,120,89,85,132,101,93,124,86,83,376,537,0.7141,Behind
